nama,review,bintang
Lutfiyah Family,Masjid kampusnya cukup luas dan bersih juga. Nyaman untuk sholat. KM nya pun bersih. Kalo sholat Jum'at penuh sampai ke halaman masjid jamaahnya baik Mahasiswa maupun penduduk sekitar... Setiap sholat 5 waktu jg selalu ramai jamaahnya.The best lah pokoknya. Barakallahu fiikum.,5
Darwin Nursamsur,"Saya gak kuliah di sini tapi istri saya yang kuliah di sini. Menurut penuturan dia sih kalau dia kuliah di sini karena beasiswa full. Jadi dibayarin dari awal masuk sampe lulus kuliah tanpa ikatan kontrak atau apapun.Kelebihan;1. Ada progrma beasiswa full2. Kampusnya professional3. Parkiran memadaiMinusnya;1. Macet banget kalau mau ke sini. Gilak lah pokoknyaOverall, ya not bad lah kalau mau kuliah di siniSaya gak kuliah di sini tapi istri saya yang kuliah di sini. Menurut penuturan dia sih kalau dia kuliah di sini karena beasiswa full. Jadi dibayarin dari awal masuk sampe lulus kuliah tanpa ikatan kontrak atau apapun. …Lengkapnya",5
Risna Krishna,Perjalanan ke sana memang agak macet apalagi klo jam sibuk..tapi begitu nyampe ke dalam kampus tempatnya tenang jauh dari kebisingan kota..Karna kita di Fik yg masuk dari gate 2 ada tempat makan di dekat Fik..komunikasi..bisnis..open library..sama terapan..harga terjangkaulah sama mahasiswa,1
Muchammad Luthfi,"Menjadi salah satu kampus swasta favorit yang ada di Indonesia. Memang kampus ini selain memiliki akreditasi yang baik, standar kenyamanan di kampus dan sekitarnya patut diperhitungkan, akses parkir yang sangat luas, akses masuk yang mudah dan aman, serta view dan ambience yang ada disini patut kalian coba",1
Beckham Putra,"Tolong d perhatikan untuk ojol, sgera kasih solusi yg tidak saling merugikan antara ojol sma stpam, jangan di diamkan terus menerus ,cape tiap hari ngnter k sini harus jln kaki untuk pengantaran food/pket , kita ongkos ga seberapa, tolong sesegera mungkin kasih solusi yg pas buat ojol ,apakah sediakan tmpat penitipan, atau gmn lah biar g harus jalan kaki , skali lagi tolong d perhatikan kita sama2 cari rezeky 🙏🙏🙏 kepala satpam kali2 ngopi bareng perwakilan ojol 🙏 ,,, saran sedikit mening turutin aturan satpam komplek ttip ktp kalo ke ojol ( jngan ttup telinga ttup mata)Tolong d perhatikan untuk ojol, sgera kasih solusi yg tidak saling merugikan antara ojol sma stpam, jangan di diamkan terus menerus ,cape tiap hari ngnter k sini harus jln kaki untuk pengantaran food/pket , kita ongkos ga seberapa, tolong …Lengkapnya",5
muhammad rozaqi,"Kunjungan pertama bersama mgbk Sidoarjo ke kampus ini,  dengan lingkungan hijau yang alami, asri, rindang, nyaman dan ramah. Semoga dengan jalinan silaturahmi kami bisa memberikan layanan karier studi lanjut terbaik pada peserta didik kami.",5
Achmad Rizal,Universitas swasta terkemuka di Indonesia.. terdiri dari 7 Fakultas Dan 45 prodi (tahun 2022) sebagian besar terakreditasi A atau Unggul..,5
Otto Habe,Kampusnya besar sekali. Udaranya sejuk. Angin mengalir sejuk.. Gedung besar. Masih ada sawahnya. Asrama laki dan perempuan di pisahkan. Nyaman untuk belajar di sini. Parkir utk mobil atau motor mahasiswa luas. Aman. Silahkan putra putrinya kuliah di sini.,5
Jeffri H Gunawan,"Kampus ini dari awal tidak transparansi saat detail biaya keseluruhan saat mendaftar, setiap selesai tahap pembayaran selalu muncul biaya lain yg diawal tidak di sebutkan, dan terjadi bbrp kali. Dan jika di jumlah total biaya tambahan tak terduga itu lumayan besar. Kampus terbaik dalam menjebak tambahan biaya tak terduga ya. Mau mundur sudah masuk biaya diawal besar dan tidak akan kembali dan tidak akan ada waktu lagi... Bener2 hebat dlm mengikat tanpa bisa mudah lepasKampus ini dari awal tidak transparansi saat detail biaya keseluruhan saat mendaftar, setiap selesai tahap pembayaran selalu muncul biaya lain yg diawal tidak di sebutkan, dan terjadi bbrp kali. Dan jika di jumlah total biaya tambahan tak …Lengkapnya",1
Naufal Adrian Hidayat,"Kampusnya luas, fasilitasnya yangg lengkap, serta hawa dan suasananya yang sejuk. Betah banget buat olahraga jalan kaki ke kampus.",1
Yullia Anggrainy,Masuk ke aula Fakultas Ilmu Terapan buat acara sulung di tempat bimbelnya. Insyaa Allah hari ini menjadi lebih baik lagi dibanding sebelumnya ya Uni. Aamiin yaa Rabbal'alamiin 😘🤗,5
Asep R,"salah satu kampus referensi untuk yang punya passion di dunia teknologi, informatika & robotic, kampus nya luas banget, berada di kabupaten Bandung.",5
Adam zaki,"Dulu kuliah disini sedjak tahun 2012. Benar-benar tempat yang mengundang banyak memori.Tiap tahun kesini selalu ada aja yang baru, terutama infrastrukturnya.Dulu belum ada perpus kelas internasional kek sekarang, sekarang udah ada kolam renang indor, gedung seminar depan fakultas gue (FTE) jadi bagus banget, Telkom Mart (T-Mart) disulap jadi ruang riung.Dan yang paling gue kaget lagi, sekarang udah ada penyewaan sepedah yang layak dari pihak kampus (ada QR codenya buat buka kunci, astaga).Anyway, Telkom memang lagi giat merubah penampilan sebagai world class University. Semoga sebanding dengan peningkatan mutu daya pengajar dan mahasiswanya serta sistem pembelajaran dan yang tak kalah penting, bisa lebih menerima aspirasi mahasiswa!Dulu kuliah disini sedjak tahun 2012. Benar-benar tempat yang mengundang banyak memori. …Lengkapnya",4
susanto se,"Sebagai salah satu universitas terbaik di Imdonesia Telkom terus berbenah selain gedung baru , fasilitas penunjang juga ditambah, sekarang semakin nyaman, aman dan bersih, petugas keamanan dan kebersihan juga banyak. Sekarang ada pusat bantuan yg terkoneksi dgn CCTV cukup tekan tombol. Mantap...",4
Rahadian Gouw,"Universitas yg sangat tidak ramah untuk para ojol, terutama untuk driver food/paket yg mau nganter ke sini pasti kebanyakan di cancel/blacklist oleh driver ojol, karna harus berjalan kaki cukup jauh..",5
Ganjar Pramulia,Anter gosend / food sulitPenerima paket ga kooperatifSudah dihubungiBikin pusing mood hilang seketika,5
Ten Eat,"Punten pak kalo bisa kurir jangan suruh jalan kaki lagi apalagi kirim ke gedung gedung ujung , kitaudah cape dijalan , mohonsaling menghargai !",5
Fadli Ramadhan,"Pertama masuk ke sini bingung. Kurang rambu-rambu lalu lintas. Khususnya penunjuk jalan. Luas banget kompleknya. Dan parkiran juga luas, baik mobil maupun motor. Hanya saja kurang penunjuk jalan. Untuk gedungnya memang bagus. Terlihat mewah dari luar dan dalam. Memang tercermin banget kalau ini sebuah universitas. Keren.",5
Fitri Yani,"Jajan di pasar minggu stt Telkom, cuanki 5rb, teh poci 5rb, gurita bakar 15rb pada murah tapi rasa gak murahan mantap 👍",1
Adetia Adetia,"Setelah 2 tahun ga ke sini ternyata perubahannya cukup banyak, yg paling berasa itu vibes green campusnya, mulai dr pepohonan yg mulai rindang, banyak hewan2 termasuk merak bahkan, dan ada peternakan lebah. Keren 👍",1
Delio Da Costa,"Tempatnya bagus, Universitas Unggul di Indenesia dan termasuk memberikan beasiswa mahasiswa Nasional, Lokal maupun International. Universitas yang mempunyai keunikanya semdiri dan mempunya fasilitas lengkap.Selamat KuliahTerimakasihTempatnya bagus, Universitas Unggul di Indenesia dan termasuk memberikan beasiswa mahasiswa Nasional, Lokal maupun International. Universitas yang mempunyai keunikanya semdiri dan mempunya fasilitas lengkap. …Lengkapnya",5
Maman Somantri,Ribet Banget Kalo Buat Driver OnlineTidak boleh bawa motor ke dalamSedangkan pesanan harus sampai ke depan Muka customerKita harus jalan kaki dari parkiran sampai ke dalam tang lumayan jauhKalau tidak boleh masuk bawa motor sediakan jalur khusus buat kurir/pengantaran makananAtau sediakan tempat penitipan makanan di halaman parkir biar Customer sendiri tang ambil pesanan nya atau satpam yang anter ke dalamRibet Banget Kalo Buat Driver OnlineTidak boleh bawa motor ke dalamSedangkan pesanan harus sampai ke depan Muka customer …Lengkapnya,5
Muhammad Kosasih,Salah satu kampus terbaik yang mempunyai gedung megah dan sarana yang cukup memadai.,5
Ade Wirnanda (Awna_Store),"Fasilitas umum telah diperbarui besar2an sejak awal pandemi, sehingga jika sudah pama tidak ke kampus akqn sangat terasa bedanya",5
Wenny Iswari,"masyaallah makin bagus kampuskuuu, kangen bgt kesini.. udh 10 thun ga kesana lagi, wisuda 2014 😆",5
Adi Sucipto,Makin maju dan terus menjadi pencetak sarjana2 muda yg nanti nya akan membangun bangsa dan negara inibke arah yg jauh lebih baik,5
Rusky,"Luas,keren kampus yang paling menakjubkan,gedungnyapun sangat banyak,sekuritas parkirnyapun ketat,canggih serba tekonologi modern dengan era telekomunikasi terkini, sesuai dengan nama perusahaannyapun,apalagi jalannya..lingkungannya bersih,nyaman buat ngampus setiap ngampus masuk jan pelajaran maupun istirahat atau pekan ukm kegiatan mahasiswa dikampus ini. Mantul.pokonyaLuas,keren kampus yang paling menakjubkan,gedungnyapun sangat banyak,sekuritas parkirnyapun ketat,canggih serba tekonologi modern dengan era telekomunikasi terkini, sesuai dengan nama perusahaannyapun,apalagi jalannya..lingkungannya …Lengkapnya",1
Hasyir Ahmad,"kampus yg luar biasa, orang orang hebat lahir dari sini, walaupun bukan mahasiswanya saya bangga terhadap kampus ini, lingkungan yang bersih aman dan nyaman sangat mendukung kegiatan perkuliahan disini, semoga kampus ini terus mencetak orang orang yang hebat",1
Yadi setiadi,ATURA  SIH ATURAN MASA DRIVER ONLINE OJOL MASUK HARUS JALAN KAKI TAPI KURIR BAWA MTR JAUH LEMPANG TEH ngotak dikit,5
Ghazaly Imam,Dulu ke sini 2017 masih gersang sekarang sudah rimbun dan banyak bangunan.,5
Farel Jemal,Kampus dengan segudang koneksi dapat membangun karier yang relevan👍,5
arbi hildansyah,"Telkom ini aneh, harusnya ada tempat penitipan di depan asrama. Biar yang muda muda ambil paket sendiri. Malah yang tua di suruh jalan kaki jauh.",5
Faizal UwU,"Cik atuh euy hilangkan lah aturan ojol harus jalan dan nyimpen motornya jauh dari titik do, kami bukan babu para mahasiswa, udah mah ongkosnya murah ini harus jalan buat nganter makanan/paketnya mikir dong letak kemanusiaanya dimana, ke rakyat kecil ko nindas banget asu",4
Sepri Anto,Tempat parkirnya rapi banget satpamnya ok kru angkat barang nya siap kerja kerennnn,4
intan sariwijaya,"Satpam yg jaga untuk masuk area asrama GK pada sopan gk pada punya otak aturan memang aturan tp apa tidak di kasih kelonggaran untuk saya khusus nya antar jemput laundry berat bilang nya bukan urusan kami mau berat atau ringan tinggal jalan aja GK pada pake otak , kadang bilang nya ada atasan"" jdi GK boleh masuk bawa motor sekejam itu kah telyuSatpam yg jaga untuk masuk area asrama GK pada sopan gk pada punya otak aturan memang aturan tp apa tidak di kasih kelonggaran untuk saya khusus nya antar jemput laundry berat bilang nya bukan urusan kami mau berat atau ringan tinggal jalan …Lengkapnya",5
andi rosyad,Susana Kampus yang nyamanPas kebetulan lagi mengerjakan Pengecatan Interior Open Library,5
Opa YoeKa,Kampus swasta di Bandung yang sangat luas kawasannya.,5
Cucu Nurpirman,"2'Hari di Radius TUCH,_    Tidak sempat Sholat di Dalam Komplek.                     Selamat Sukses bagi Peserta Seleksi TKD    C.ASN    yg  Rezeki-nya  Lulus 👍🙏",5
armand am,"Proses pendaftaran tidak transparan, uang pendaftaran harus ditransfer dulu. Sesudah itu mau isi data susah, beberapa hari kemudian diberi kabar gak diterima di jurusan yg dipilih, tapi diarahkan ke jurusan lainnya.",1
Akub Hh,"saran sih bikin 1 titik tempat paket, biar kurir maupun ojol ga harus cape jalan kaki bawa2 paket atau makanan, ngabisin waktu + ya kasian aja liat nya apalagi kalo yg bawa paket gede",1
indra Indra,Gedungnya banyak..tempatnya asri cuman kurang ruang terbuka hijaunya.. parkirannya luas,1
shinta dewi,"Universitas swasta terbaik di Indonesia,ada banyak macam fakultas yang bisa dipilih,ada fakultas ekonomi, fakultas teknologi, fakultas industri kreatif dan masih banyak lagi.untuk lebih jelasnya bisa datang kesini di jalan terusan buah batu Bandung",1
ABL 1,"Jika CEO nya baca.1. Driver online hrus ad naruh food/paket i depan prkir.2. Ini jalan jauh ke asrama3. Kdang sudah beda pimpinan, beda peraturan.Jika MHASISWA TIDAK BOLEH MESAN ONLINE, mending DI UMUMKAN di MADING.Kasihan DEIVER YANG JALAN JAUH.Jika CEO nya baca.1. Driver online hrus ad naruh food/paket i depan prkir.2. Ini jalan jauh ke asrama …Lengkapnya",1
Akbar Sirajuddin Hanif,"Universitas Telkom Bandung yang menjadi salah satu universitas swasta terbaik di Indonesia, dengan fasilitas yang lengkap didukung dengan teknologi yang canggih dan tenaga pengajar yang sangat kompeten di bidangnya.",1
El,"Semenjak kuliah online, telkom semakin bagus fasilitasnya, banyak taman2 yang diperbaiki, jalanan di dalam kampus mulus tapi jalanan di luarnya masih kurang diperhatikan",4
allisha abel,"Ribet kalau mau nganterin barang harus jalan kaki! Kalau deket sih ga masalah! ini udah mah jauh+barangnya berat!! Mikir dong, Setidaknya bisa dititip di satpam kek, ini satpam nya aja Reseh!",4
Indri Fitria,"Pertama kali kesini saat tes cpns, makanya ga sempet foto bagian dalam atau shoot yg bagus. Simply suka sama kampusnya, karena cukup banyak pepohonan jadi kasih kesan sejuk. Terus kalau dilihat dari pelayanan saat tes kemarin, kampus ini pasti didukung fasilitas yg memadai untuk provide tes sebesar itu. Pasti ada sinergi yg baik antara instansi penyelenggara dgn pihak universitasPertama kali kesini saat tes cpns, makanya ga sempet foto bagian dalam atau shoot yg bagus. Simply suka sama kampusnya, karena cukup banyak pepohonan jadi kasih kesan sejuk. Terus kalau dilihat dari pelayanan saat tes kemarin, kampus ini …Lengkapnya",5
Gelar Tanaya Risno Okta Pamungkas,"Securitynya disana engga ramah ya, terus pada sambil ngerokok tugasnya.Ya saya juga orang kerja soalnya, sebisa mungkin professional. Kalo lagi kerja kurang kurangilah ngerokok.Terus mungkin harus belajar cara ngehadepin orang, meskipun bukan dosen tetep harus bisa ramah tamah. Menegur dengan cara paling tepat.Securitynya disana engga ramah ya, terus pada sambil ngerokok tugasnya.Ya saya juga orang kerja soalnya, sebisa mungkin professional. Kalo lagi kerja …Lengkapnya",5
NISA SOPIAH I,"Baru kali ini diusir krn mau solat. Kampusnya sih bagus Green concept, yg tidak bagus staff satpam di gate 4. Sumpah kalau bisa diganti aja dia dipecat, bapak² kacamata umur 40an sgt tidak sopan dan kurang ajar bikin nama telkom jelek.",5
Aspir Udin,"2012 tempat main, masih banyak begal yg tembus ke arah lapang dan bisa tembus ke moh.toha palasari.Pernah ada yg bunuh diri loncat dri tower.",5
Sherly Intan,"Hallow apakah disini ada mahasiswa s2 putshaf email  shafeelaptr@gmail. , mohon maaf ya, sebaiknya di DO aja. Soalnya sukanya ngelont*, yg hobinya pamer dd. Makasih",5
raissa alodya,"coba perbaiki lagi keamanan di setiap parkiran kampus, sering terjadi pencurian motor dan helm di dalam kampus. evaluasi lah jangan hapus-hapus review buruk di google, harus terima sisi buruk seperti ini dan di perbaiki, takut citra jadi buruk? yg ada makin buruk kalo ga diperbaiki smpe nanti. kampus swasta nomor 1 tapi keamanan tidak di nomor satukan, tidak becus! dikira beli helm pake daun? gmn klo semisal para mahasiswa menabung untuk membeli helm dan hilang begitu saja? ukt mahal keamanan jelek banget. yg mau kuliah disini pikir pikir dulu deh, keamanannya buruk seburuk buruknya.coba perbaiki lagi keamanan di setiap parkiran kampus, sering terjadi pencurian motor dan helm di dalam kampus. evaluasi lah jangan hapus-hapus review buruk di google, harus terima sisi buruk seperti ini dan di perbaiki, takut citra jadi …Lengkapnya",5
Manan Nurul Aziz Syaehoni,"Kampus swasta terbaik no 1 di Indonesia, saya lulusan tahun 2019, banyak ilmu yang didapat dari kampus ini, selain teori juga banyak ilmu prakteknya, fasilitas yang sangat lengkap sehingga dapat menunjang skill apapun. Akreditasi kampus sudah A. kurikulum kampus yang sesuai.",1
Arinaldo Edo,"Saya Alhamdulillah menjadi lulusan terbaik di Telkom University, lulus dari telkom langsung bisa buka usaha terbesar di Kota saya yaitu Depok dan bisa menjadi trademark di Kota Saya, silahkan kunjungi @click5studio",1
Rusli Muhamad,Harus nya kalo driver ojek online makan /paket . DI PERBOLEHKAN UNTUK BAWA KENDARAAN. KE DEKAT PENGANTARAN KHUSUS NYA  ASRAMA PUTRI. JALAN CUKUP JAUH. HARUS NYA ATURAN ITU UNTUK MAHASISWA SAJA. 👎👎👎👎,5
Lilis Maryani,Salah satu Universitas swasta terbaik di indonesia,5
Art Pedia,"Creating the future..Kami siap support kebutuhan alat tulis, alat lukis dan printing..",5
Muhammad Desri Murdianto,"Pertama kali datang ke Bandung 2012 saya turun dari taksi di depan gedung ini, waktu itu masih di fungsikan sbg rektorat it telkom. Gedung Penuh Kenangan, Lt. 1-4 sudah pernah dikunjungi, cuma ke Lt. 5 yg belum pernah karena memang disitu ruang rektorat dan ga ada urusan kesana. @foto dari belakang gedung",5
Aditya azmi hail,"Kampus swasta ter the best, banyak kenangan disini 🥹",5
yosep rohimat,"Terkenal, luas dan nyaman, masjid kurang penerangan",5
Abdul Malik Sajid,"Bagus, Salah satu universitas swasta terbaik di Indonesia.",5
Max Vision,Gerbang yg mengarah ke Gedung Bangkit yaitu Gedung Rektorat Telkom University. Gate ini dekat dengan lapangan bola Telkom University dan Shortcut menuju Danau Galau atau Situ Tekno. Indah dan asri serta hijau,5
Muhammad Fadly Aliansyah,"kampus dengan integritas yang tinggi, dan menjadi world class university #synergybangoonnegry",5
Zain al _9,Bad University... Tolong etikanya diperbaiki.....,5
Adam Prasetyo (verified),kampusnya bagus,4
Kendra Sevira,"Good place to learn! Pengalaman selama di Tel-U baik, apalagi sekarang makin bagus fasilitasnya :)",4
Azzahra Dhanindya,"Di stt adem banget, buat yang suka sama IT wajib masuk sini nih!",1
nama aku,"Kampus paling belagu, giliran ojol gak boleh pake motor harus jalan kaki padahal jauh ongkos gak seberapa, giliran delivery atau yang kenal lenggang kangkung enak banget",1
Edi Kurniadi,Kini tambah asri dan hijau banyak bangunan baru,5
mc magista,Wilayah kampusnya sejuk banyak pepohonannya serta ada joglonya untuk bersantai,5
wiwin karmilah,"Sekolah unggulan , adab mahasiswa rendahan",5
Mery Yuder,Universitas Telkom tempat anak2 kuliahFasilitanya lengkap... suasana belajar nyaman....,5
Firda Wasyiah,"Satpam kampus gate 4 yg sangat aneh, masa mau solat dimasjidnya gaboleh. Dengan alasan bukan orang telkom, padahal saya ke telkom diundang oleh dosen telkom.Sebelum ke gate 4 ini saya berada di sekitar gate 2, oleh satpam gate 2 disaranin masuk lewat gate 4 aja boleh ko langsung masuk aja. Eh malah ketemu satpam rese di gate 4 ga dibolehin solat. Bad bgt deh attitudenya tu satpam gate 4.Satpam kampus gate 4 yg sangat aneh, masa mau solat dimasjidnya gaboleh. Dengan alasan bukan orang telkom, padahal saya ke telkom diundang oleh dosen telkom.Sebelum ke gate 4 ini saya berada di sekitar gate 2, oleh satpam gate 2 …Lengkapnya",1
Akun Coint,"kalo kurir paket maupun ojol kasian harus jalan jauh apalagi ke gedung a gabisa bawa motor, payah 👎",1
Joharon Firdi,"Satpamnya udah ramah sekarang ada sedikit perubahan, tukang sapu area parkir kerjanya asal2an, oh iya anak saya masuk lewat jalur normal bayar normal, ga lewat prestasi, beasiswa atau apapun itu, karna kami tidak bermental gratisan, dan pihak kampus untuk beli alat2  tidak lewat jalur gratisan dari supplernya.",1
Yu Ri,"Kampusnya luas, tapi kurang rambu2 petunjuk arah, jadi bagi orang awam agak bingung..",1
Kiky Andryani,Universitas terkeren di bandung,2
Rizal Purwosaputro,"Kampus terbaik, semoga senantiasa membanggakan dan membangun negeri",2
yugianto ponisah,Inilah tempat anakku berjuang menuntut ilmu,1
Rochadi Soewardi,Tempat kenangan menimba Ilmu 90/92,1
Python Sumatra,"Katanya kampus terbaik preeet...kampus pencuri. Semua buku IT di librarynya hasil bajakan. Sudah berkali-kali di email penulis tidak direspon sama sekali.Betapa miris lembaga pendidikan tapi tidak menghargai produk intelektual. Sudah tahu menulis buku itu susah, penulis butuh makan. Kampus pencuri, biarlah keringat dan darah penulis menjadi kutuk bagi kampus ini...kampus terkutuk!!!!Katanya kampus terbaik preeet...kampus pencuri. Semua buku IT di librarynya hasil bajakan. Sudah berkali-kali di email penulis tidak direspon sama sekali. …Lengkapnya",5
Lucky Pahlevi,Terakhir d sini taun 98 masih gersang. Sekarang 2022 udah rimbun. Cakep.,5
Agus Sugianto,"Kampus Bagus, tapi satpamnya pada belagu.",5
ses ses,Sayangnya toilet di asrama nya masih jongkokAda kamar dengan toilet dudukHanya boleh buat mahasiswa asingPadahal sudah  daftar kelas international dengan bayaran  mahal2 77 jutaTapi dianggapnya tetap regulerYg dianggap international hanya orang asingDisitu agak mengecewakan !Kenapa toilet asrama tidak dibuat duduk ? Kok ketinggalan zamanSekolah lain rata2 toiletnya dudukIni sudah tahun 2023Seperti kembali ke tahun 1900 anMohon perhatian dari pihak yayasanSayangnya toilet di asrama nya masih jongkokAda kamar dengan toilet dudukHanya boleh buat mahasiswa asing …Lengkapnya,5
I Wayan Marta Sudhyana,Kampus tercinta yang sudah menjadi universitas,5
Ahmad Dai,Semuanya sih oke cuma Dari jalan utama kurang gede kadang macet dan banjir di bunderan,5
Muhammad miftah Indrawan,"terimakasih atas peraturan yg menurut saya bukan solusi yg baik bagi mahasiswa dan ojol atau kurir yg mengantarkan paket atau makanan ke daerah asarama perempuan, saya sendiri sedang sakit TBC tulang (pada bagian sendi) harus berjalan begitu jauh ke gedung asrama perempuan, semoga penyakit yg saya derita saat ini bersampak juga pada pembuat peraturan dan satpamterimakasih atas peraturan yg menurut saya bukan solusi yg baik bagi mahasiswa dan ojol atau kurir yg mengantarkan paket atau makanan ke daerah asarama perempuan, saya sendiri sedang sakit TBC tulang (pada bagian sendi) harus berjalan …Lengkapnya",1
Indra Grind,Dekat dengan pintu tol buah batu.. enak tempatnya. Parkirnya luas,1
Soneki Ya,"kampusnya luas, gedungnya keren-keren, fasilitasnya oke",1
Maryanta Sitompul,Resepsionis pelayanannya humanis dan solutif (memberikan solusi).Tempat parkir luasLingkungan bersih dan nyaman.,1
Annisa Suryani,"Menikmati panasnya terik matahari di siang hari, berlanjut menikmati semilir angin di danau galau",5
RISMON SIANIPAR,"Ini kampus pembajak ebook. Kampus tapi pencuri hak intelektualitas penulis. Banyak ebook bajakan Indonesia maupun English di perpustakaan digitalnya. Kampus maling! Mana nih menteri pendidikan?...kampus pencuri begini layaknya ditutup, karena mengajari mahasiswanya menjadi maling!",5
Yayah Yayah,"Telkom univercity, bagus gedung nya, dan suasananya Asri, membuat nyaman, cuma sangat di sayangkan ketika menghadiri Wisuda tahun 2023, tidak di sediakan kursi di tenda2 ,sehingga para pengantar ( nenek, kakek, dll ) duduk 2 di trotoar, yng melihat sangat kecewa,  dan tidak pantas, kasian yng dari luar kota ( Palembang, Lampung, dll) smg untuk kedepan nya ,konsep nya di rubah .sepertTelkom univercity, bagus gedung nya, dan suasananya Asri, membuat nyaman, cuma sangat di sayangkan ketika menghadiri Wisuda tahun 2023, tidak di sediakan kursi di tenda2 ,sehingga para pengantar ( nenek, kakek, dll ) duduk 2 di trotoar, yng …Lengkapnya",4
Rio Hendrian,Kampus tai emang masa ojol antar makanan ke asrama harus jalan kaki lebih dari 500 meter,4
